
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	at java.lang.ProcessImpl.start(Unknown Source)
INFO   | jvm 1    | 2014/11/15 10:46:37 | 	... 43 more
ERROR  | wrapperm | 2014/11/15 10:46:57 | Unable to install the Test Wrapper Sample Application service - The specified service already exists. (0x431)
STATUS | wrapperm | 2014/11/15 10:47:12 | The Test Wrapper Sample Application service was not running.
STATUS | wrapperm | 2014/11/15 10:47:22 | The Test Wrapper Sample Application service was not running.
STATUS | wrapperm | 2014/11/15 10:47:31 | Starting the Test Wrapper Sample Application service...
STATUS | wrapper  | 2014/11/15 10:47:31 | --> Wrapper Started as Service
STATUS | wrapper  | 2014/11/15 10:47:32 | Java Service Wrapper Standard Edition 32-bit 3.5.25
STATUS | wrapper  | 2014/11/15 10:47:32 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/11/15 10:47:32 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
NOTICE | wrapper  | 2014/11/15 10:47:32 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:47:32 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
NOTICE | wrapper  | 2014/11/15 10:47:32 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2014/11/15 10:47:32 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:47:32 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:47:32 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
NOTICE | wrapper  | 2014/11/15 10:47:32 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:47:32 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:47:32 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:47:32 | a one-month Free trial license:
NOTICE | wrapper  | 2014/11/15 10:47:32 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
NOTICE | wrapper  | 2014/11/15 10:47:32 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2014/11/15 10:47:32 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2014/11/15 10:47:32 | web site:
NOTICE | wrapper  | 2014/11/15 10:47:32 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
NOTICE | wrapper  | 2014/11/15 10:47:32 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2014/11/15 10:47:32 | should not be used as part of a production environment.
NOTICE | wrapper  | 2014/11/15 10:47:32 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:47:32 | 
STATUS | wrapper  | 2014/11/15 10:47:32 | 
STATUS | wrapper  | 2014/11/15 10:47:32 | Launching a JVM...
INFO   | jvm 1    | 2014/11/15 10:47:33 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper: Initializing...
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper: start()
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper: ActionServer Enabled. 
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:   Telnet localhost 9999
INFO   | jvm 1    | 2014/11/15 10:47:33 | TestWrapper:   Commands: 
